Tray,Cube,S3_date,SurvivED,Trial,Start_date,Lobster,Most_recent_date,Concentration,days_to_S3
T1,1,2017-07-27,T,BPA,2017-07-08,L9,2017-07-27,3,19.0
T1,2,,E,BPA,2017-07-08,L9,2017-07-27,3,
T1,3,2017-07-27,T,BPA,2017-07-08,L9,2017-07-27,3,19.0
T1,4,,E,BPA,2017-07-08,L9,2017-07-27,3,
T1,5,,E,BPA,2017-07-08,L9,2017-07-27,3,
T1,6,2017-07-27,T,BPA,2017-07-08,L9,2017-07-27,3,19.0
T1,7,2017-07-24,E,BPA,2017-07-08,L9,2017-07-27,3,16.0
T1,8,2017-07-27,F,BPA,2017-07-08,L9,2017-07-27,3,19.0
T1,9,,E,BPA,2017-07-08,L9,2017-07-27,3,
T1,10,2017-07-24,F,BPA,2017-07-08,L9,2017-07-27,3,16.0
T1,11,2017-07-27,E,BPA,2017-07-08,L9,2017-07-27,3,19.0
T1,12,,E,BPA,2017-07-08,L9,2017-07-27,3,
T1,13,,F,BPA,2017-07-08,L9,2017-07-27,3,
T1,14,2017-07-27,E,BPA,2017-07-08,L9,2017-07-27,3,19.0
T1,15,2017-07-27,T,BPA,2017-07-08,L9,2017-07-27,3,19.0
T1,16,,E,BPA,2017-07-08,L9,2017-07-27,3,
T32,1,,E,BPA,2017-07-13,L9,2017-07-31,3,
T32,2,,E,BPA,2017-07-13,L9,2017-07-31,3,
T32,3,,E,BPA,2017-07-13,L9,2017-07-31,3,
T32,4,2017-07-27,T,BPA,2017-07-13,L9,2017-07-31,3,14.0
T32,5,,F,BPA,2017-07-13,L9,2017-07-31,3,
T32,6,,E,BPA,2017-07-13,L9,2017-07-31,3,
T32,7,2017-07-28,T,BPA,2017-07-13,L9,2017-07-31,3,15.0
T32,8,,E,BPA,2017-07-13,L9,2017-07-31,3,
T32,9,2017-07-28,T,BPA,2017-07-13,L9,2017-07-31,3,15.0
T32,10,2017-07-27,E,BPA,2017-07-13,L9,2017-07-31,3,14.0
T32,11,,E,BPA,2017-07-13,L9,2017-07-31,3,
T32,12,2017-07-27,T,BPA,2017-07-13,L9,2017-07-31,3,14.0
T32,13,,E,BPA,2017-07-13,L9,2017-07-31,3,
T32,14,,F,BPA,2017-07-13,L9,2017-07-31,3,
T32,15,2017-07-27,E,BPA,2017-07-13,L9,2017-07-31,3,14.0
T32,16,2017-07-27,E,BPA,2017-07-13,L9,2017-07-31,3,14.0
T30,1,,E,BPA,2017-07-13,L9,2017-07-27,3,
T30,2,,E,BPA,2017-07-13,L9,2017-07-27,3,
T30,3,2017-07-27,E,BPA,2017-07-13,L9,2017-07-27,3,14.0
T30,4,,E,BPA,2017-07-13,L9,2017-07-27,3,
T30,5,2017-07-27,E,BPA,2017-07-13,L9,2017-07-27,3,14.0
T30,6,,E,BPA,2017-07-13,L9,2017-07-27,3,
T30,7,2017-07-27,E,BPA,2017-07-13,L9,2017-07-27,3,14.0
T30,8,,E,BPA,2017-07-13,L9,2017-07-27,3,
T30,9,,E,BPA,2017-07-13,L9,2017-07-27,3,
